CODIGO_CUENTA;CLASE_MOVIMIENTO;ID_MOVIMIENTO;FECHA_MOVIMIENTO;TIPO;INGRESO_PAGO;CONCEPTO;IMPORTE
01.1.12.01;1;58557                                   ;2021/07/07 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000299,20
01.1.12.01;1;58571                                   ;2021/07/07 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000408,00
01.1.12.01;1;59324                                   ;2021/07/08 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;-0000000000408,00
01.1.12.01;1;59392                                   ;2021/07/08 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;-0000000000299,20
01.1.11.20;1;90207                                   ;2021/12/30 00:00:00.000;T;I;BANKIA SA - ANTICIPO CAJA FIJA                                                  ;0000000028562,51
01.1.11.07;1;84568                                   ;2021/11/18 00:00:00.000;T;I;"BANKIA SA - C.P. ""CANCELADA""                                                    ";0000001168056,78
01.1.11.07;1;84570                                   ;2021/11/18 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000519,02
01.1.11.07;1;87230                                   ;2021/12/15 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000408,00
01.1.11.07;1;87236                                   ;2021/12/15 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000371,80
01.1.11.07;1;87238                                   ;2021/12/15 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000069,26
01.1.11.07;1;87242                                   ;2021/12/15 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;-0000000000069,26
01.1.11.07;1;87711                                   ;2021/12/16 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000519,02
01.1.11.07;1;87752                                   ;2021/12/17 00:00:00.000;P;P;COMBUSTIBLES Y CARBURANTES                                                      ;0000000000092,83
01.1.11.07;1;88546                                   ;2021/12/22 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000524,54
01.1.11.07;1;88639                                   ;2021/12/22 00:00:00.000;T;P;B. SANTANDER -CUENTA PRINCIPAL                                                  ;0000001150000,00
01.1.11.07;1;89937                                   ;2021/12/30 00:00:00.000;P;P;COMBUSTIBLES Y CARBURANTES                                                      ;0000000000128,44
01.1.11.07;1;90097                                   ;2021/12/30 00:00:00.000;P;P;COMBUSTIBLES Y CARBURANTES                                                      ;-0000000000128,44
01.1.11.06;1;8569                                    ;2021/03/19 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;-0000000000462,43
01.1.11.06;1;80914                                   ;2021/10/21 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000462,43
01.1.11.03;1;394                                     ;2021/01/18 00:00:00.000;I;I;VIVERO DE EMPRESAS                                                              ;0000000000605,00
01.1.11.03;1;395                                     ;2021/01/18 00:00:00.000;P;P;COMBUSTIBLES Y CARBURANTES                                                      ;0000000000034,54
01.1.11.03;1;398                                     ;2021/01/18 00:00:00.000;I;I;VIVERO DE EMPRESAS                                                              ;0000000000302,50
01.1.11.03;1;400                                     ;2021/01/18 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000519,02
01.1.11.03;1;402                                     ;2021/01/18 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000371,80
01.1.11.03;1;404                                     ;2021/01/18 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000524,54
01.1.11.03;1;425                                     ;2021/01/21 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000462,43
01.1.11.03;1;502                                     ;2021/01/28 00:00:00.000;I;I;REINTEGROS DE PAGOS DE EJERCICIOS ANTERIORES                                    ;0000000002000,00
01.1.11.03;1;505                                     ;2021/01/28 00:00:00.000;I;I;INTERESES DEMORA REINTEGROS                                                     ;0000000000126,16
01.1.11.03;1;538                                     ;2021/01/28 00:00:00.000;T;P;FORMALIZACIONES EN METALICO                                                     ;0000000189887,79
01.1.11.03;1;601                                     ;2021/02/01 00:00:00.000;I;I;REINTEGROS DE PAGOS DE EJERCICIOS ANTERIORES                                    ;0000000001000,00
01.1.11.03;1;603                                     ;2021/02/01 00:00:00.000;I;I;INTERESES DEMORA REINTEGROS                                                     ;0000000000038,15
01.1.11.03;1;1350                                    ;2021/02/03 00:00:00.000;I;I;VIVERO DE EMPRESAS                                                              ;0000000000302,50
01.1.11.03;1;1358                                    ;2021/02/03 00:00:00.000;I;I;VIVERO DE EMPRESAS                                                              ;0000000000302,50
01.1.11.03;1;2064                                    ;2021/02/05 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000447,96
01.1.11.03;1;2072                                    ;2021/02/05 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000524,54
01.1.11.03;1;2896                                    ;2021/02/12 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000371,80
01.1.11.03;1;2900                                    ;2021/02/12 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000462,43
01.1.11.03;1;3403                                    ;2021/02/15 00:00:00.000;I;I;ARRENDAMIENTOS INM AVDA MADRID                                                  ;0000000000519,02
